id,year,district_code,district_name,dong_code,dong_name,lot_type_code,lot_type,main_no,sub_no,building_name,contract_day,price,arch_area,land_area,floor,built_year,housing_type,deal_type,address,latitude,longitude
774,2025,11215,광진구,10300,구의동,1,대지,73,23,현대빌라(73-23),2025-04-02,530000000,78.38,42.0,3.0,2000.0,연립다세대,중개거래,서울특별시 광진구 구의동 0073-0023 현대빌라(73-23),37.5491915869396,127.091039894825
775,2025,11215,광진구,10500,자양동,1,대지,643,23,현대빌라트(643-23),2025-05-28,1700000000,131.85,0.0,6.0,1993.0,아파트,중개거래,서울특별시 광진구 자양동 0643-0023 현대빌라트(643-23),37.5289587058647,127.079872348115
776,2025,11215,광진구,10300,구의동,1,대지,241,1,현대아트빌라(241-1),2025-06-22,168000000,34.31,15.0,-1.0,1995.0,연립다세대,중개거래,서울특별시 광진구 구의동 0241-0001 현대아트빌라(241-1),37.5408278530217,127.087261901919
777,2025,11215,광진구,10300,구의동,1,대지,31,21,현대아트빌라(31-21),2025-06-17,273000000,50.07,22.0,1.0,1994.0,연립다세대,중개거래,서울특별시 광진구 구의동 0031-0021 현대아트빌라(31-21),37.5530279186037,127.093610456989
778,2025,11215,광진구,10100,중곡동,1,대지,194,3,현대캐슬(194-3),2025-04-17,460000000,59.72,37.0,4.0,2022.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0194-0003 현대캐슬(194-3),37.5695328774427,127.085084461911
779,2025,11215,광진구,10300,구의동,1,대지,220,55,현대타운2,2025-04-30,220000000,61.74,33.0,-1.0,1995.0,연립다세대,중개거래,서울특별시 광진구 구의동 0220-0055 현대타운2,37.5398755503823,127.090305879076
780,2025,11215,광진구,10500,자양동,1,대지,666,27,현대파크빌,2025-04-30,520000000,60.85,29.0,3.0,1996.0,연립다세대,중개거래,서울특별시 광진구 자양동 0666-0027 현대파크빌,37.529122325173,127.083650277871
781,2025,11215,광진구,10300,구의동,1,대지,43,23,현대파크빌(B),2024-12-26,413000000,78.07,44.0,4.0,2001.0,연립다세대,중개거래,서울특별시 광진구 구의동 0043-0023 현대파크빌(B),37.5500308653512,127.095267406896
782,2025,11215,광진구,10300,구의동,1,대지,231,18,현대팰리스,2025-04-16,641700000,78.43,0.0,2.0,2022.0,아파트,직거래,서울특별시 광진구 구의동 0231-0018 현대팰리스,37.5432620368722,127.08865462063
783,2025,11215,광진구,10300,구의동,1,대지,631,1,현대프라임,2025-06-27,3000000000,183.87,0.0,23.0,1997.0,아파트,중개거래,서울특별시 광진구 구의동 0631-0001 현대프라임,37.5373977464389,127.097621063329
784,2025,11215,광진구,10100,중곡동,1,대지,51,33,현대하이츠빌라,2025-06-12,180000000,52.98,24.0,-1.0,1997.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0051-0033 현대하이츠빌라,37.5589212067061,127.083456882882
785,2025,11215,광진구,10400,광장동,1,대지,388,3,"현대하이츠빌라(A,B동)",2025-03-29,190000000,44.07,35.0,-1.0,1989.0,연립다세대,중개거래,"서울특별시 광진구 광장동 0388-0003 현대하이츠빌라(A,B동)",37.5475890179171,127.101073554536
786,2025,11215,광진구,10400,광장동,1,대지,580,0,현대홈타운12차,2025-02-11,2480000000,147.23,0.0,14.0,2004.0,아파트,중개거래,서울특별시 광진구 광장동 0580-0000 현대홈타운12차,37.5449488629893,127.103006566384
787,2025,11215,광진구,10100,중곡동,1,대지,96,35,현진(96-35),2025-03-25,535000000,50.29,30.0,4.0,2013.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0096-0035 현진(96-35),37.5548798952942,127.090285729434
788,2025,11215,광진구,10300,구의동,1,대지,31,1,현진빌,2025-04-03,395000000,50.2,30.0,2.0,2015.0,연립다세대,중개거래,서울특별시 광진구 구의동 0031-0001 현진빌,37.5529624060386,127.093736672279
789,2025,11215,광진구,10300,구의동,1,대지,35,24,현진빌라(35-24),2025-07-09,120000000,25.23,18.0,-1.0,2011.0,연립다세대,중개거래,서울특별시 광진구 구의동 0035-0024 현진빌라(35-24),37.5509646804706,127.095129966449
790,2025,11215,광진구,10300,구의동,1,대지,46,19,현진빌라(46-19),2025-05-31,360000000,44.45,28.0,2.0,2014.0,연립다세대,중개거래,서울특별시 광진구 구의동 0046-0019 현진빌라(46-19),37.5504053759011,127.094187151183
791,2025,11215,광진구,10300,구의동,1,대지,69,25,현진빌라(69-25),2025-01-23,440000000,67.24,29.0,4.0,2012.0,연립다세대,중개거래,서울특별시 광진구 구의동 0069-0025 현진빌라(69-25),37.5465566719878,127.087632388442
792,2025,11215,광진구,10300,구의동,1,대지,60,58,현진시티빌,2025-04-15,400000000,65.77,31.0,3.0,2001.0,연립다세대,중개거래,서울특별시 광진구 구의동 0060-0058 현진시티빌,37.5478722682284,127.090553957448
793,2025,11215,광진구,10100,중곡동,1,대지,568,8,현진에코빌,2025-06-19,314000000,46.91,28.0,2.0,2015.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0568-0008 현진에코빌,37.5709764973402,127.081573493565
